responden_id,varian,kasus,metode,kejelasan,kepercayaan,kecukupan,komentar
V1-01,1,1,rule_based,5,4,4,
V1-01,1,1,gnn,4,4,4,
V1-01,1,2,gnn,2,4,3,
V1-01,1,2,rule_based,4,3,3,
V1-01,1,3,gnn,3,5,4,
V1-01,1,3,rule_based,3,3,5,
V1-01,1,4,rule_based,5,3,4,
V1-01,1,4,gnn,3,4,5,
V1-01,1,5,gnn,4,5,4,
V1-01,1,5,rule_based,4,5,5,
V1-01,1,6,rule_based,4,5,3,
V1-01,1,6,gnn,4,5,4,
V1-02,1,1,rule_based,2,3,3,
V1-02,1,1,gnn,2,3,1,
V1-02,1,2,gnn,2,3,3,
V1-02,1,2,rule_based,2,3,3,
V1-02,1,3,gnn,2,3,3,
V1-02,1,3,rule_based,2,3,3,
V1-02,1,4,rule_based,2,3,3,
V1-02,1,4,gnn,2,3,3,
V1-02,1,5,gnn,2,3,3,
V1-02,1,5,rule_based,2,3,3,
V1-02,1,6,rule_based,2,3,3,
V1-02,1,6,gnn,2,3,3,
V1-03,1,1,rule_based,4,4,5,
V1-03,1,1,gnn,3,5,4,
V1-03,1,2,gnn,4,4,4,
V1-03,1,2,rule_based,4,4,4,
V1-03,1,3,gnn,5,5,5,
V1-03,1,3,rule_based,5,3,3,
V1-03,1,4,rule_based,4,3,3,
V1-03,1,4,gnn,5,5,5,
V1-03,1,5,gnn,4,4,3,
V1-03,1,5,rule_based,4,3,3,
V1-03,1,6,rule_based,4,4,3,
V1-03,1,6,gnn,4,4,4,
V1-04,1,1,rule_based,5,4,5,
V1-04,1,1,gnn,4,4,5,
V1-04,1,2,gnn,4,4,5,
V1-04,1,2,rule_based,4,4,4,
V1-04,1,3,gnn,4,5,5,
V1-04,1,3,rule_based,5,5,5,
V1-04,1,4,rule_based,4,4,5,
V1-04,1,4,gnn,4,5,5,
V1-04,1,5,gnn,4,5,4,
V1-04,1,5,rule_based,5,5,5,
V1-04,1,6,rule_based,4,5,5,
V1-04,1,6,gnn,4,4,4,
V2-01,2,1,gnn,1,3,4,
V2-01,2,1,rule_based,4,3,3,
V2-01,2,2,rule_based,4,3,4,
V2-01,2,2,gnn,1,4,4,
V2-01,2,3,rule_based,4,3,3,
V2-01,2,3,gnn,2,4,4,
V2-01,2,4,gnn,2,5,5,
V2-01,2,4,rule_based,4,3,2,
V2-01,2,5,rule_based,5,3,3,
V2-01,2,5,gnn,2,4,2,
V2-01,2,6,gnn,2,3,3,
V2-01,2,6,rule_based,4,3,3,
V2-02,2,1,gnn,3,5,4,
V2-02,2,1,rule_based,2,3,2,
V2-02,2,2,rule_based,3,2,4,
V2-02,2,2,gnn,2,3,2,
V2-02,2,3,rule_based,3,3,5,
V2-02,2,3,gnn,2,3,2,
V2-02,2,4,gnn,3,2,3,
V2-02,2,4,rule_based,4,3,3,
V2-02,2,5,rule_based,3,4,4,
V2-02,2,5,gnn,3,2,3,
V2-02,2,6,gnn,2,1,2,
V2-02,2,6,rule_based,4,5,5,
V2-03,2,1,gnn,3,4,4,
V2-03,2,1,rule_based,4,3,3,
V2-03,2,2,rule_based,4,3,3,
V2-03,2,2,gnn,3,4,4,
V2-03,2,3,rule_based,4,2,2,
V2-03,2,3,gnn,3,4,4,
V2-03,2,4,gnn,3,5,5,
V2-03,2,4,rule_based,3,2,2,
V2-03,2,5,rule_based,3,2,2,
V2-03,2,5,gnn,4,5,5,
V2-03,2,6,gnn,3,4,4,
V2-03,2,6,rule_based,1,1,1,
V2-04,2,1,gnn,4,4,4,
V2-04,2,1,rule_based,5,4,5,
V2-04,2,2,rule_based,5,4,4,
V2-04,2,2,gnn,5,4,5,
V2-04,2,3,rule_based,5,4,5,
V2-04,2,3,gnn,4,4,4,
V2-04,2,4,gnn,5,4,5,
V2-04,2,4,rule_based,4,5,5,
V2-04,2,5,rule_based,5,4,4,
V2-04,2,5,gnn,5,5,5,
V2-04,2,6,gnn,5,4,3,
V2-04,2,6,rule_based,5,4,4,
